id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/1/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,relatedEventId,relatedPlayerId,qualifiers/9/value,qualifiers/10/value,qualifiers/11/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/14/type/value,qualifiers/14/type/displayName,qualifiers/14/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,qualifiers/13/value,qualifiers/12/value,cardType/value,cardType/displayName,isGoal,qualifiers/15/type/value,qualifiers/15/type/displayName,qualifiers/15/value,qualifiers/16/type/value,qualifiers/16/type/displayName,qualifiers/17/type/value,qualifiers/17/type/displayName,qualifiers/17/value
2309279875,2,0,0,343,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279873,2,0,0,339,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279879,3,0,0,339,49.9,50,0,1,FirstHalf,1,Pass,1,Successful,true,78498,140,PassEndX,42.8,178,StandingSave,212,Length,8.1,56,Zone,Back,213,Angle,2.7,141,PassEndY,54.8,90,116,29,34,36,215,217,42.8,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279887,4,0,1,339,41.9,56.6,0,1,FirstHalf,1,Pass,1,Successful,true,25191,213,Angle,2.3,140,PassEndX,141,PassEndY,82.0,178,StandingSave,,56,Zone,Back,212,Length,22.7,90,116,29,34,36,214,217,27.9,82,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279889,5,0,4,339,28.8,83.5,0,1,FirstHalf,1,Pass,1,Successful,true,21778,212,Length,10.7,56,Zone,178,StandingSave,,140,PassEndX,33.5,141,PassEndY,97.5,213,Angle,1.1,90,116,29,35,36,215,217,33.5,97.5,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279891,6,0,7,339,31.3,96,0,1,FirstHalf,1,Pass,1,Successful,true,101537,56,Zone,Back,213,Angle,141,PassEndY,58.5,1,Longball,,212,Length,36.7,140,PassEndX,6.1,90,116,126,34,37,214,217,6.1,58.5,3.9,178,StandingSave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279893,7,0,10,339,7.1,52.7,0,1,FirstHalf,1,Pass,1,Successful,true,73798,56,Zone,Back,213,Angle,178,StandingSave,,212,Length,12.7,141,PassEndY,34.6,140,PassEndX,10.0,90,116,29,35,37,214,217,10,34.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279895,8,0,13,339,10,34.5,0,1,FirstHalf,1,Pass,1,Successful,true,69933,141,PassEndY,3.2,56,Zone,213,Angle,5.3,140,PassEndX,24.1,178,StandingSave,,212,Length,25.9,90,116,29,35,37,214,217,24.1,3.2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279897,9,0,15,339,24.6,5.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,104376,1,Longball,,155,Chipped,178,StandingSave,,140,PassEndX,57.8,212,Length,38.0,141,PassEndY,28.2,90,119,123,127,35,36,215,57.8,28.2,,213,Angle,0.4,56,Zone,Center,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279899,3,0,18,343,43.4,66.3,0,1,FirstHalf,1,Pass,1,Successful,true,9991,56,Zone,Left,213,Angle,3,HeadPass,,212,Length,22.2,140,PassEndX,58.0,141,PassEndY,89.9,90,118,116,29,138,35,36,58,89.9,0.8,,,,,,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279901,4,0,20,343,58,89.9,0,1,FirstHalf,1,Pass,1,Successful,true,92329,140,PassEndX,55.3,56,Zone,212,Length,11.8,213,Angle,4.5,141,PassEndY,73.0,3,HeadPass,,90,118,116,29,138,34,37,55.3,73,Center,,,,,,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279903,5,0,22,343,55.3,73,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,91961,56,Zone,Center,213,Angle,3,HeadPass,,212,Length,9.6,140,PassEndX,61.3,141,PassEndY,62.4,90,119,28,138,35,37,215,61.3,62.4,5.4,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279907,10,0,24,339,37.5,36.9,0,1,FirstHalf,1,Pass,1,Successful,true,25191,56,Zone,Back,141,PassEndY,178,StandingSave,,213,Angle,3.1,212,Length,13.8,140,PassEndX,24.4,90,116,29,34,36,214,217,24.4,38.5,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279909,11,0,26,339,24.4,38.5,0,1,FirstHalf,1,Pass,1,Successful,true,10209,140,PassEndX,4.2,56,Zone,212,Length,22.0,141,PassEndY,47.0,178,StandingSave,,213,Angle,2.9,90,116,29,34,36,214,217,4.2,47,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279911,12,0,29,339,4.6,46.7,0,1,FirstHalf,1,Pass,1,Successful,true,73798,212,Length,41.2,1,Longball,155,Chipped,,140,PassEndX,33.7,213,Angle,5.5,56,Zone,Back,90,116,123,126,35,37,215,33.7,6.1,,178,StandingSave,,141,PassEndY,6.1,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309279915,13,0,32,339,38.6,5.9,0,1,FirstHalf,44,Aerial,1,Successful,false,104376,233,OppositeRelatedEvent,7,285,Defensive,56,Zone,Back,,,,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
