id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/1/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,satisfiedEventsTypes/9,satisfiedEventsTypes/10,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/14/type/value,qualifiers/14/type/displayName,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,relatedEventId,relatedPlayerId,qualifiers/9/value,goalMouthZ,goalMouthY,isGoal,isShot,qualifiers/12/value,blockedX,blockedY,cardType/value,cardType/displayName,qualifiers/13/value
2310598605,2,0,0,343,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598607,2,0,0,345,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598611,3,0,0,343,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,70141,141,PassEndY,58.4,178,StandingSave,140,PassEndX,39.2,212,Length,12.7,56,Zone,Back,213,Angle,2.7,90,116,29,34,36,215,217,39.2,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598613,4,0,1,343,39,54.9,0,1,FirstHalf,1,Pass,1,Successful,true,91961,140,PassEndX,33.8,213,Angle,56,Zone,Back,212,Length,28.9,178,StandingSave,,141,PassEndY,13.1,90,116,29,34,37,215,217,33.8,13.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598619,5,0,4,343,32.2,15.3,0,1,FirstHalf,1,Pass,1,Successful,true,122469,141,PassEndY,38.6,140,PassEndX,178,StandingSave,,213,Angle,2.2,56,Zone,Back,212,Length,19.3,90,116,29,34,36,214,217,21.7,38.6,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598623,6,0,7,343,22,38.6,0,1,FirstHalf,1,Pass,1,Successful,true,20664,178,StandingSave,,141,PassEndY,212,Length,26.3,213,Angle,1.6,140,PassEndX,22.3,56,Zone,Back,90,116,29,35,36,214,217,22.3,77.3,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598625,7,0,10,343,22.2,75.7,0,1,FirstHalf,1,Pass,1,Successful,true,9991,141,PassEndY,43.7,178,StandingSave,212,Length,23.0,213,Angle,4.4,140,PassEndX,15.0,56,Zone,Back,90,116,29,34,37,214,217,15,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598631,8,0,13,343,14.9,43.7,0,1,FirstHalf,1,Pass,1,Successful,true,20664,213,Angle,1.9,56,Zone,212,Length,23.7,178,StandingSave,,140,PassEndX,6.7,141,PassEndY,76.1,90,116,29,34,36,214,217,6.7,76.1,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598633,9,0,18,343,6.7,76.1,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,262515,140,PassEndX,47.1,56,Zone,1,Longball,,178,StandingSave,,213,Angle,0.1,212,Length,42.7,90,117,119,123,127,35,36,47.1,83.3,Back,155,Chipped,141,PassEndY,83.3,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310598639,3,0,20,345,52.2,18,0,1,FirstHalf,44,Aerial,1,Successful,false,101374,56,Zone,Right,233,OppositeRelatedEvent,286,Offensive,,,,,,,,,,,196,198,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
