id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/4/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/9/type/value,qualifiers/9/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,qualifiers/8/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value,blockedX,blockedY,qualifiers/9/value,qualifiers/10/value,cardType/value,cardType/displayName,satisfiedEventsTypes/13,isGoal,qualifiers/14/type/value,qualifiers/14/type/displayName,satisfiedEventsTypes/14,satisfiedEventsTypes/15,satisfiedEventsTypes/16
2309967337,2,0,0,338,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967339,2,0,0,343,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967341,3,0,0,338,49.9,50,0,1,FirstHalf,1,Pass,1,Successful,true,402197,140,PassEndX,33.4,56,Zone,Back,212,Length,17.8,141,PassEndY,56.3,178,StandingSave,213,Angle,2.9,90,116,29,34,36,215,217,33.4,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967343,4,0,2,338,35.2,57,0,1,FirstHalf,1,Pass,1,Successful,true,122117,140,PassEndX,73.0,1,Longball,,178,StandingSave,,155,Chipped,,56,Zone,213,Angle,5.5,90,118,116,123,126,204,35,73,3.4,Right,141,PassEndY,3.4,212,Length,53.9,37,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967345,5,0,5,338,73,3.4,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,298839,21,OtherBodyPart,,56,Zone,Right,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967351,4,0,17,343,27.1,100,0,1,FirstHalf,1,Pass,1,Successful,true,101955,56,Zone,Back,140,PassEndX,40.4,141,PassEndY,93.6,213,Angle,5.9,212,Length,107,ThrowIn,,90,211,35,37,215,,,40.4,93.6,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967353,5,0,18,343,40.4,93.6,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,70141,178,StandingSave,,56,Zone,Left,213,Angle,6.1,3,HeadPass,,141,PassEndY,212,Length,21.5,90,119,28,138,35,37,215,60.5,87.7,87.7,140,PassEndX,60.5,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967355,7,0,21,338,37.4,13.2,0,1,FirstHalf,49,BallRecovery,1,Successful,false,368091,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967357,8,0,22,338,33.4,15,0,1,FirstHalf,1,Pass,1,Successful,true,368091,56,Zone,Back,213,Angle,2.4,212,Length,27.6,141,PassEndY,43.3,140,PassEndX,178,StandingSave,,90,116,29,34,36,214,217,14.5,43.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967359,9,0,27,338,15.1,44.2,0,1,FirstHalf,1,Pass,1,Successful,true,332823,178,StandingSave,,140,PassEndX,25.3,56,Zone,Back,212,Length,21.7,141,PassEndY,213,Angle,1.1,90,116,29,35,36,214,217,25.3,72,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967363,10,0,32,338,33.8,75.1,0,1,FirstHalf,1,Pass,1,Successful,true,122117,212,Length,13.5,178,StandingSave,,56,Zone,Back,141,PassEndY,60.6,140,PassEndX,213,Angle,5.5,90,116,29,35,37,215,217,42.6,60.6,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967365,11,0,33,338,42.1,58.4,0,1,FirstHalf,4,Foul,1,Successful,true,261212,13,Foul,,286,Offensive,,233,OppositeRelatedEvent,6,56,Zone,Back,,,,,,90,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967361,6,0,33,343,57.9,41.6,0,1,FirstHalf,4,Foul,0,Unsuccessful,false,91961,13,Foul,,56,Zone,Center,285,Defensive,,233,OppositeRelatedEvent,11,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967371,12,0,46,338,42.2,59.4,0,1,FirstHalf,1,Pass,1,Successful,true,44721,140,PassEndX,39.0,178,StandingSave,,56,Zone,Back,212,Length,17.9,213,Angle,5,FreekickTaken,,90,116,29,131,34,37,215,39,33.6,4.5,141,PassEndY,33.6,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309967373,13,0,49,338,42.8,32.7,0,1,FirstHalf,1,Pass,1,Successful,true,368091,56,Zone,Back,213,Angle,1.7,212,Length,20.7,141,PassEndY,62.7,140,PassEndX,178,StandingSave,,90,116,29,34,36,215,217,39.6,62.7,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
